[{'context_precision': 0.0000, 'faithfulness': 0.0000, 'answer_relevancy': 0.0000, 'context_recall': 0.0000, 'answer_correctness': 0.1765, 'semantic_similarity': 0.7053},
 {'context_precision': 1.0000, 'faithfulness': 1.0000, 'answer_relevancy': 1.0000, 'context_recall': 1.0000, 'answer_correctness': 0.9891, 'semantic_similarity': 0.9564},
 {'context_precision': 1.0000, 'faithfulness': 0.7500, 'answer_relevancy': 0.9476, 'context_recall': 0.7500, 'answer_correctness': 0.6100, 'semantic_similarity': 0.9399},
 {'context_precision': 0.0000, 'faithfulness': 1.0000, 'answer_relevancy': 0.0000, 'context_recall': 0.0000, 'answer_correctness': 0.1783, 'semantic_similarity': 0.7135},
 {'context_precision': 1.0000, 'faithfulness': 1.0000, 'answer_relevancy': 0.9517, 'context_recall': 0.5000, 'answer_correctness': 0.6064, 'semantic_similarity': 0.9254},
 {'context_precision': 1.0000, 'faithfulness': 0.8000, 'answer_relevancy': 0.9825, 'context_recall': 1.0000, 'answer_correctness': 0.9895, 'semantic_similarity': 0.9582},
 {'context_precision': 0.0000, 'faithfulness': 1.0000, 'answer_relevancy': 0.0000, 'context_recall': 0.0000, 'answer_correctness': 0.2011, 'semantic_similarity': 0.8043},
 {'context_precision': 1.0000, 'faithfulness': 0.8889, 'answer_relevancy': 0.9845, 'context_recall': 0.3333, 'answer_correctness': 0.5326, 'semantic_similarity': 0.9305},
 {'context_precision': 0.0000, 'faithfulness': 0.0000, 'answer_relevancy': 0.0000, 'context_recall': 0.0000, 'answer_correctness': 0.1792, 'semantic_similarity': 0.7168},
 {'context_precision': 1.0000, 'faithfulness': 0.4167, 'answer_relevancy': 0.9375, 'context_recall': 0.0000, 'answer_correctness': 0.5259, 'semantic_similarity': 0.9038},
 {'context_precision': 1.0000, 'faithfulness': 0.2000, 'answer_relevancy': 0.9487, 'context_recall': 0.2000, 'answer_correctness': 0.4170, 'semantic_similarity': 0.9180},
 {'context_precision': 0.0000, 'faithfulness': 0.0000, 'answer_relevancy': 0.0000, 'context_recall': 0.0000, 'answer_correctness': 0.1747, 'semantic_similarity': 0.6988},
 {'context_precision': 1.0000, 'faithfulness': 1.0000, 'answer_relevancy': 0.9187, 'context_recall': 0.6923, 'answer_correctness': 0.6032, 'semantic_similarity': 0.9435},
 {'context_precision': 1.0000, 'faithfulness': 0.8333, 'answer_relevancy': 0.9863, 'context_recall': 1.0000, 'answer_correctness': 0.6300, 'semantic_similarity': 0.9199},
 {'context_precision': 0.0000, 'faithfulness': 0.4444, 'answer_relevancy': 0.9286, 'context_recall': 0.0000, 'answer_correctness': 0.4515, 'semantic_similarity': 0.9238},
 {'context_precision': 0.5000, 'faithfulness': 0.2500, 'answer_relevancy': 0.9359, 'context_recall': 0.1250, 'answer_correctness': 0.3785, 'semantic_similarity': 0.9426},
 {'context_precision': 1.0000, 'faithfulness': 0.8889, 'answer_relevancy': 0.9698, 'context_recall': 0.6667, 'answer_correctness': 0.5694, 'semantic_similarity': 0.9444},
 {'context_precision': 0.5833, 'faithfulness': 0.1667, 'answer_relevancy': 0.9187, 'context_recall': 1.0000, 'answer_correctness': 0.3982, 'semantic_similarity': 0.9443},
 {'context_precision': 1.0000, 'faithfulness': 0.9000, 'answer_relevancy': 0.9573, 'context_recall': 0.3750, 'answer_correctness': 0.9817, 'semantic_similarity': 0.9267},
 {'context_precision': 0.8333, 'faithfulness': 0.0000, 'answer_relevancy': 0.9435, 'context_recall': 0.1111, 'answer_correctness': 0.4169, 'semantic_similarity': 0.9533},
 {'context_precision': 0.3333, 'faithfulness': 0.7273, 'answer_relevancy': 0.8948, 'context_recall': 0.5000, 'answer_correctness': 0.3145, 'semantic_similarity': 0.9503},
 {'context_precision': 1.0000, 'faithfulness': 0.4167, 'answer_relevancy': 0.9232, 'context_recall': 0.1250, 'answer_correctness': 0.5194, 'semantic_similarity': 0.9423},
 {'context_precision': 0.8333, 'faithfulness': 0.2222, 'answer_relevancy': 0.8834, 'context_recall': 0.5000, 'answer_correctness': 0.6698, 'semantic_similarity': 0.9649},
 {'context_precision': 1.0000, 'faithfulness': 0.6000, 'answer_relevancy': 0.8992, 'context_recall': 0.7000, 'answer_correctness': 0.6474, 'semantic_similarity': 0.9534},
 {'context_precision': 1.0000, 'faithfulness': 0.8889, 'answer_relevancy': 0.9582, 'context_recall': 0.2000, 'answer_correctness': 0.5896, 'semantic_similarity': 0.9466},
 {'context_precision': 1.0000, 'faithfulness': 0.1250, 'answer_relevancy': 0.9524, 'context_recall': 1.0000, 'answer_correctness': 0.4447, 'semantic_similarity': 0.9418},
 {'context_precision': 1.0000, 'faithfulness': 0.5833, 'answer_relevancy': 0.9480, 'context_recall': 1.0000, 'answer_correctness': 0.6309, 'semantic_similarity': 0.9521},
 {'context_precision': 1.0000, 'faithfulness': 0.9167, 'answer_relevancy': 0.9558, 'context_recall': 0.5556, 'answer_correctness': 0.9855, 'semantic_similarity': 0.9419},
 {'context_precision': 1.0000, 'faithfulness': 1.0000, 'answer_relevancy': 0.9394, 'context_recall': 0.6250, 'answer_correctness': 0.5741, 'semantic_similarity': 0.9250},
 {'context_precision': 1.0000, 'faithfulness': 0.8571, 'answer_relevancy': 0.9598, 'context_recall': 0.2000, 'answer_correctness': 0.3877, 'semantic_similarity': 0.9300},
 {'context_precision': 0.3333, 'faithfulness': 0.8000, 'answer_relevancy': 0.9251, 'context_recall': 0.4286, 'answer_correctness': 0.3371, 'semantic_similarity': 0.9484},
 {'context_precision': 0.5000, 'faithfulness': 0.7059, 'answer_relevancy': 0.9570, 'context_recall': 0.2000, 'answer_correctness': 0.6030, 'semantic_similarity': 0.9453},
 {'context_precision': 1.0000, 'faithfulness': 0.5833, 'answer_relevancy': 0.9460, 'context_recall': 0.2857, 'answer_correctness': 0.3735, 'semantic_similarity': 0.9487},
 {'context_precision': 1.0000, 'faithfulness': 0.7143, 'answer_relevancy': 0.0000, 'context_recall': 0.1667, 'answer_correctness': 0.5201, 'semantic_similarity': 0.9265},
 {'context_precision': 1.0000, 'faithfulness': 0.6364, 'answer_relevancy': 0.9557, 'context_recall': 0.2222, 'answer_correctness': 0.4920, 'semantic_similarity': 0.9395},
