question,answer,contexts,used_reranker,k_init,top_n,num_initial_docs,num_final_docs,runtime_seconds,factuality_score,question_type,chunk_size,chunk_overlap
What role does the National Park Service play in preserving sites related to the American Revolution?,"Original Answer: The National Park Service plays a crucial role in preserving sites related to the American Revolution. As part of the U.S. Department of the Interior, the National Park Service is responsible for managing and protecting national parks, monuments, battlefields, military parks, historical parks, historic sites, lakeshores, seashores, recreation areas, scenic rivers, and trails throughout the United States. In this context, the National Park Service works to preserve and interpret sites related to the American Revolution, such as Independence National Historical Park in Philadelphia, Pennsylvania, which was established in 1934 to commemorate the events and people that shaped the nation's history. The National Park Service also collaborates with other government agencies, non-profit organizations, and private individuals to ensure the preservation of these sites for future generations.","['1 \n Argument Writing Lesson  \nBackground Information  \n National Park Service  \nU.S. Department of the Interior  \n \nIndependence National Historical Park  \nPhiladelphia, Pennsylvania  \n \nAmerican Revolution Overview  \nThe Revolutionary War (1775 -1783) began as a conflict between Great Britain and her North American \ncolonies.  It ended as a global war, pitting European powers against each other in a time of intense \nimperial rivalry.  In the end, the American colonies gai ned their independence, ruling themselves under \nthe “firm league of friendship” known as the Articles of Confederation.  In 1789, the U.S. Constitution –\nestablishing the legislative, executive, and judicial branches - superseded the Articles of Confederatio n. \nTimeline of major American Revolution actions:  \n• April 19, 1775:   First shots fired at Lexington and Concord in Massachusetts.  No one knows who \nfired first – the British troops or the colonists.', 'The American \nRevolution\nReader', 'Towards the preservation of your government']",True,10,3,10,3,3.582348346710205,0.555356502532959,single_hop_specifc_query_synthesizer,1000,30
What grievances did the American colonists have against the King in the Declaration of Independence?,"Original Answer: The American colonists had several grievances against the King in the Declaration of Independence. They accused the king of ignoring or changing their colonial governments, as well as their rights to a trial by jury. The colonists also accused the king of sending a hired army to force them to obey unjust laws and said that the king was ""unfit to be the ruler of a free people.""","['changed for light and transient causes…” He counters by reminding his audi ence of the “ long train of \nabuses and usurpations”  that makes it “… their right, it is their duty, to throw off such Government, and \nto provide new Guards for their future security.”  \nGrievances  \nThe longest part of the Declaration lists the unfair actions of the British king and Parliament.  In their \ncomplaints, the colonists make it clear that they are angry with the British king and government for \ntaking away their rights as English citizens.  They point out that the king has ignored or changed their \ncolo nial governments, as well as their rights to a trial by jury.  The colonists accuse the king of sending a \nhired army to force them to obey unjust laws.  They say the king is “unfit to be the ruler of a free \npeople.”', 'Continental Congress re moved whole sections.  Jefferson was most angered by the removal of one \nparticular clause, a clause blaming the King for forcing the slave trade upon the American colonies.   \nThe final draft of the Declaration of Independence contains a preamble, a list of grievances, a formal \ndeclaration of independence, and signatures.   \nPreamble  \nThis first of the Declaration contains an assertion of individual rights.  Perhaps the most famous line \nstates, “We hold these truths to be self -evident, that all men are created  equal, that they are endowed \nby their Creator with certain unalienable rights, that among these are Life, Liberty and the Pursuit of \nHappiness.”  This part goes on to say that if the government tries to take these rights away, the people \nhave the right to  form a new government.   Jefferson also addresses a counterclaim in this section, \nacknowledging that “Prudence, indeed, will dictate that Governments long established should not be', 'Chapter 14\nThe Great Declaration \nComing to a Decision  By the start \nof 1776, the argument with Great \nBritain had lasted more than ten years. The fighting had gone on for almost one. Still, many colonists weren’t sure whether they really wanted independence.\nA number of colonists opposed independence. \nThese people were called Loyalists . Loyalists \nbelonged to different religions and came from different social classes. They had different \nreasons for their loyalty. Some Loyalists made \ntheir decision for economic reasons. Some chose the British side for political reasons. \nOthers followed religious or personal values. But all Loyalists agreed on one thing: the need to stay faithful to the king and to Great Britain. \nNo colony had ever broken away from a mother country. Giving up a \nplace in the world’s greatest empire and all the advantages of being \npart of it—was that really a smart idea? On the other hand, Patriots \n88The Big Question\nWhat was the \nDeclaration of Independence?']",True,10,3,10,3,2.796583890914917,0.5998736619949341,single_hop_specifc_query_synthesizer,1000,30
"What role did Thomas Jefferson play in the drafting of the Declaration of Independence, and how was his contribution recognized by his contemporaries?","Original Answer: Thomas Jefferson played a significant role in the drafting of the Declaration of Independence. He was chosen by Benjamin Franklin and John Adams to write the document, and his contribution was recognized by his contemporaries as being the most important. The document he produced became the most famous document not only in American history but also in the history of the entire world. Jefferson wanted the world to know all the bad things King George had done and all the rights he had taken away, so he listed each of them. His contribution was recognized by his contemporaries as being the most important because it made a strong case for the American colonies to break away from Great Britain.","['“Resolved, that these united colonies are, and of right ought to be, free and independent states …”  \nVoting was postponed while some of the delegates worked to convince others to support \nindependence, but a committee of five men was assigned to draft a document of independence: John \nAdams (MA), Benjamin Franklin (PA), Thomas Jefferson (VA), Roger Sherman (CT), and Robert R. \nLivingston (NY).  Jefferson did most of the work, drafting the document in his lodgings at 7th and Market \nStreet.', 'The Declaration of Independence as an Argument  \nLooking back on the Declaration of Independence almost 50 years later, Thomas Jefferson explained \nthat the document’s purpose was never meant  to be thoroughly original; its purpose wasn’t to articulate \nanything that hadn’t be said before, but to make the case for the American colonies in plain terms and \npersuade the world to see common sense. “It was intended to be an expression of t he American mind,” \nJefferson explains. He goes on to claim that “[the Declaration’s] authority rests then on the harmonizing \nsentiments of the day.”  (Jefferson to Henry Lee, May 8, 1825)  \nJefferson finished his timeless defense of “life, liberty and the pu rsuit of happiness” in little more than \ntwo weeks, and like most writers, he was no stranger to the revision process. Between the Committee of \nFive and the Second Continental Congress, there were 86 edits to the document. The Second', '92of the declaration was to explain why the colonies were breaking \naway from Great\xa0Britain.\nThe committee chosen to write the declaration included \nJohn\xa0Adams, Benjamin Franklin, and Thomas Jefferson. Which \ncommittee member should do the main writing? Benjamin Franklin and George Washington were probably the two most famous Americans alive. John Adams was one of the first leaders to speak out in favor of independence. Thomas Jefferson, however, was known as a fine writer. Franklin and Adams chose him to write the declaration.\nWhat Jefferson produced became the most famous document not \nonly in American history, but also in the history of the entire world. Jefferson wanted the world to know all the bad things this\xa0king had done and all the rights he had taken away. So he listed each of them. He also explained why the king’s actions made \nit right for the colonists to break away \nfrom\xa0Britain.']",True,10,3,10,3,3.191563606262207,0.49236419796943665,single_hop_specifc_query_synthesizer,1000,30
Who was Timothy Matlack and what was his role related to the Declaration of Independence?,"Original Answer: Timothy Matlack was a scribe who was chosen by the committee to engross (handwrite) the Declaration of Independence. He played an important role in the creation of this historic document, as he was responsible for carefully copying and signing it on behalf of the Second Continental Congress.","['2 \n On July 2, 1776, the Second Continental Congress voted to adopt Lee’s resolution for independence.  \nThis is the day that John Adams thought should be celebrated with “ Pomp and Parade, with  Shews, \nGames, Sports, Guns, Bells, Bonfires and Illuminations from one End of this Continent to the other from \nthis Time forward forever more.” (John Adams to Abigail Adams, July 3, 1 776)  \nBetween July 2 and July 4, Congress argued over every word in Jefferson’s draft of the declaration, \nmaking numerous changes.  On July 4, Congress voted again –  this time to approve the wording of the \nDeclaration of Independence.  They didn’t actually sign the document that day.  After New York’s \ndelegates received instructions from home to vote for independence (they had initially abstained), the \ndocument was sent to Timothy Matlack to be engrossed (handwritten).  Fifty of the 56 men signed the \nengross ed Declaration of Independence inside Independence Hall on August 2, 1776.', '92of the declaration was to explain why the colonies were breaking \naway from Great\xa0Britain.\nThe committee chosen to write the declaration included \nJohn\xa0Adams, Benjamin Franklin, and Thomas Jefferson. Which \ncommittee member should do the main writing? Benjamin Franklin and George Washington were probably the two most famous Americans alive. John Adams was one of the first leaders to speak out in favor of independence. Thomas Jefferson, however, was known as a fine writer. Franklin and Adams chose him to write the declaration.\nWhat Jefferson produced became the most famous document not \nonly in American history, but also in the history of the entire world. Jefferson wanted the world to know all the bad things this\xa0king had done and all the rights he had taken away. So he listed each of them. He also explained why the king’s actions made \nit right for the colonists to break away \nfrom\xa0Britain.', 'American independence.  \n• September 17, 1787:   Delegates to the Federal (Constitutional) Convention sign the U.S. \nConstitution.  \n• April 30, 1789:   George Washington sworn in as first President of the United States.  \nThe Second Con tinental Congress and the Declaration of Independence  \nThe Second Continental Congress met inside Independence Hall beginning in May 1775. It was just a \nmonth after shots had been fired at Lexington and Concord in Massachusetts, and the Congress was \npreparing for war. They established a Continental army and elected George Washington as Commander-\nin-Chief, but the delegates also drafted the Olive Branch Petition and sent it to King George III in hopes \nof reaching a peaceful resolution. The king refused to hear the petition and declared the American \ncolonies in revolt.   \nOn June 7, 1776, Virginia delegate Richard Henry Lee put forth the resolution for independence:']",True,10,3,10,3,2.524372100830078,0.48793354630470276,single_hop_specifc_query_synthesizer,1000,30
What circumstances led John Washington to leave Northamptonshire and begin a new life in America?,Original Answer: John Washington left Northamptonshire and began a new life in America due to political instability caused by the overthrow of the English king by Oliver Cromwell's Parliament in 1656.,"['Accidental ImmigrationAccidental Immigration\n••The Sea Horse made landfall in Virginia, but The Sea Horse made landfall in Virginia, but \nfloundered in bad weather off the Virginia Capes on floundered in bad weather off the Virginia Capes on \nits homeward voyage.  Young John was one of the its homeward voyage.  Young John was one of the \nfew to escape, by swimming for the Virginia shore, few to escape, by swimming for the Virginia shore, \nwhere he began a new life.   where he began a new life.   \nJohn WashingtonJohn Washington was forced to was forced to \nleave leave NorthamptonshireNorthamptonshire at age 25 at age 25 \nwhen his father when his father LawrenceLawrence , the , the \nRector of Rector of PurleighPurleigh , fell from favor , fell from favor \nwhen Oliver Cromwellwhen Oliver Cromwell ’’s Parliament s Parliament \noverthrew the English king in 1656.  overthrew the English king in 1656.', 'independence .\nBorn in the Colony of Virginia , Washington became\nthe commander of the Virginia Regiment  during the\nFrench and Indian War (1754–1763). He was later\nelected to the Virginia House of Burgesses , and\nopposed the perceived oppression of the American\ncolonists by the British Crown. When the American\nRevolutionary War against the British began in 1775,\nWashington was appointed commander -in-chief of the\nContinental Army . He directed a poorly organized and\nequipped force against disciplined British troops.\nWashington and his army achieved an early victory at\nthe Siege of Boston  in March 1776 but were forced to\nretreat from New York City in November . Washington\ncrossed the Delaware River  and won the battles of\nTrenton  in late 1776 and Princeton  in early 1777, then\nlost the battles of Brandywine  and Germantown  later\nthat year. He faced criticism of his command, low\ntroop morale, and a lack of provisions for his forces as\nthe war continued. Ultimately Washington led a', 'Page | 1 A Short Biography of George Washington  \n \n“More than most, Washington’s biography is the story of a man constructing himself.”  \n— W. W. Abbot1 \n \nEarly Life  \n \nAmerica’s first president was born on February 22, 17322 to Augustine Washington \n(1694 –1743) and his se cond wife, Mary Ball Washington (1708 –89), at their family \nplantation at Popes Creek, Westmoreland County, Virginia. Together with his four \nsiblings (Elizabeth, Samuel, John Augustine, and Charles; a fifth, Mildred, died as an \ninfant), George spent much of  his childhood on the move with his family. (George also \nhad three stepsiblings from his father’s previous marriage: Lawrence and Augustine II —\nrespectively 14 and 12 years George’s senior —and Jane, who died when George was \ntwo.) When he was three, the fami ly relocated 60 miles upstream to their home at Little \nHunting Creek on the Potomac (later named Mount Vernon); three years later, they']",True,10,3,10,3,2.5983340740203857,0.5017604231834412,single_hop_specifc_query_synthesizer,1000,30
What significance did Ferry Farm hold in George Washington's early life according to his family's history?,"Original Answer: Ferry Farm held significance in George Washington's early life as it was the location where he lived for three years and learned to farm. It is also mentioned that he became expert at judging, grooming, and caring for horses while living there.","[""••George WashingtonGeorge Washington lived in many different places in Virginia.lived in many different places in Virginia. He He \nwas born at was born at Pope's CreekPope's Creek , which is a farm, and lived their till he , which is a farm, and lived their till he \nwas three.was three.\n••George moved to George moved to Mount VernonMount Vernon (Little Hunting Creek) which was (Little Hunting Creek) which was \nalso a farm, for another three years.also a farm, for another three years.\n••Then he moved to Then he moved to Ferry FarmsFerry Farms ..While he lived at Ferry Farms he While he lived at Ferry Farms he \nlearned to farm he also learned to ride horses. When George was learned to farm he also learned to ride horses. When George was \neleven his father died.eleven his father died.\n••After that he went to live with his brother After that he went to live with his brother LawrenceLawrence ..With With"", 'Lawrence and his family he  lived at Mount Vernon. Lawrence and his family he  lived at Mount Vernon.\n••As a kid George loved to ride ho rses, and he became expert at As a kid George loved to ride ho rses, and he became expert at \njudging, grooming, and caring for them.judging, grooming, and caring for them.\nWashington home at \nPope’s CreekGW birthplace sign Cabin at Ferry FarmCabin at Ferry Farm', 'Page | 1 A Short Biography of George Washington  \n \n“More than most, Washington’s biography is the story of a man constructing himself.”  \n— W. W. Abbot1 \n \nEarly Life  \n \nAmerica’s first president was born on February 22, 17322 to Augustine Washington \n(1694 –1743) and his se cond wife, Mary Ball Washington (1708 –89), at their family \nplantation at Popes Creek, Westmoreland County, Virginia. Together with his four \nsiblings (Elizabeth, Samuel, John Augustine, and Charles; a fifth, Mildred, died as an \ninfant), George spent much of  his childhood on the move with his family. (George also \nhad three stepsiblings from his father’s previous marriage: Lawrence and Augustine II —\nrespectively 14 and 12 years George’s senior —and Jane, who died when George was \ntwo.) When he was three, the fami ly relocated 60 miles upstream to their home at Little \nHunting Creek on the Potomac (later named Mount Vernon); three years later, they']",True,10,3,10,3,2.9694089889526367,0.5910962820053101,single_hop_specifc_query_synthesizer,1000,30
What was the significance of Cartagena in Lawrence Washington's military service?,Original Answer:  I don't know. The provided context does not mention any military service of Lawrence Washington in Cartagena.,"['A Military ManA Military Man\n••Washington served as one of Washington served as one of \nVirginiaVirginia ’’s representatives to s representatives to \nthe the First Continental CongressFirst Continental Congress\nof 1774 at Carpenterof 1774 at Carpenter ’’s Hall in s Hall in \nPhiladelphia.Philadelphia.\n••Washington wore his old Washington wore his old \nuniform as Colonel of Virginia uniform as Colonel of Virginia \nMilitia to the Congress.  Militia to the Congress.  \n••He was the only delegate in He was the only delegate in \n17741774 or or 17751775 thereby marked thereby marked \nas a former as a former ““military manmilitary man ””,,and and \nmost everyone in the Colonies most everyone in the Colonies \nwas familiar with his exploits was familiar with his exploits \nin the French & Indian War.in the French & Indian War.\n••Was he availing himself to Was he availing himself to \nCongress for military service?  Congress for military service?', 'Continental Congress met in May, Washington appeared in full military uniform, \nsignaling his willingness to serve in a military capacity. On June 16, it was announced the \nhe had been unanimously selected by the Congress to lead the army of the United \nColonies.    \n \nGeneral  \n \nWashington’s first order of business as general was to form a regular army out of the \nassortment  of colonial militias that had been created. After assuming command of the \ncolonial forces outside Boston, Washington, urged by Congress to attack the British, \ncalled for restraint and instead took the time to build his forces and plan a suitable attack. \n                                                 \n6 Chernow, 166.', 'independence .\nBorn in the Colony of Virginia , Washington became\nthe commander of the Virginia Regiment  during the\nFrench and Indian War (1754–1763). He was later\nelected to the Virginia House of Burgesses , and\nopposed the perceived oppression of the American\ncolonists by the British Crown. When the American\nRevolutionary War against the British began in 1775,\nWashington was appointed commander -in-chief of the\nContinental Army . He directed a poorly organized and\nequipped force against disciplined British troops.\nWashington and his army achieved an early victory at\nthe Siege of Boston  in March 1776 but were forced to\nretreat from New York City in November . Washington\ncrossed the Delaware River  and won the battles of\nTrenton  in late 1776 and Princeton  in early 1777, then\nlost the battles of Brandywine  and Germantown  later\nthat year. He faced criticism of his command, low\ntroop morale, and a lack of provisions for his forces as\nthe war continued. Ultimately Washington led a']",True,10,3,10,3,2.002281904220581,0.5360389947891235,single_hop_specifc_query_synthesizer,1000,30
Wut was George Washingtons conection to the Shenandoah Valley?,"Original Answer:  George Washington's connection to the Shenandoah Valley was that he spent much of his early life there, working as a surveyor for the Fairfax family and accumulating land in the area. He also became captivated with the young bride of his wealthy neighbor during this time.","['Colonel himself, who took him on fox hunts (George was, even at a young age, already \nnoted for his riding ability) and taught him to navigate the world of the upper gentry.4  \n \nIn 1746, at the age of 16, Washington set out with George William Fairfax (Colonel \nFairfax’s son) to survey much of the Northern Neck Proprietary, which the Fairfax family \nhad received from King Charles II in 1649. The surveying trip took Washington into the \nShenandoah Valley, and it was here that he first became accustomed to life in the wild —\neven as he simultaneously sought to fit into polite society back home. For the next several \nyears, George  worked as a surveyor for the Fairfax family, and by the time he turned 21 \nhad accumulated nearly 2,500 acres of his own in the Shenandoah Valley.  \n \nEarly Military Career  \n \nIn 1752, Lawrence Washington died of tuberculosis, leaving his seat as an adjutant \ngeneral of the Virginia militia vacant. George, inspired by his stepbrother’s example and', '••In March 1748 16In March 1748 16 --yr old George Washington yr old George Washington \nand George William Fairfax (23), the son of and George William Fairfax (23), the son of \nColonel Fairfax, accompanied a professional Colonel Fairfax, accompanied a professional \nsurveyor charged with mapping the Fairfax surveyor charged with mapping the Fairfax \nland holdings west of the Blue Ridge land holdings west of the Blue Ridge \nMountains, including the unsettled lands of Mountains, including the unsettled lands of \nthe Shenandoah Valley.  the Shenandoah Valley.  \nGeorge William Fairfax (1724-87) OFF TO THE OFF TO THE \nFRONTIER AT FRONTIER AT \nAGE 16AGE 16', '••During this same period George became captivated During this same period George became captivated \nwith the young bride of his wealthy neighbor and camp with the young bride of his wealthy neighbor and camp \nmate, George William Fairfax.  mate, George William Fairfax.  \n••Just after their return from the reconnaissance of the Just after their return from the reconnaissance of the \nShenandoah Valley in 1748, Shenandoah Valley in 1748, George FairfaxGeorge Fairfax married married \nSarah (Sally) CareySarah (Sally) Carey , an attractive, vivacious and high, an attractive, vivacious and high --\nspirited woman two years older than Washington. spirited woman two years older than Washington.']",True,10,3,10,3,2.709040403366089,0.6448661088943481,single_hop_specifc_query_synthesizer,1000,30
What role did the Mississippi River play in the territorial disputes between the French and English in 1753?,"Original Answer: The Mississippi River played a significant role in the territorial disputes between the French and English in 1753. The British were constructing forts along the river, while the French were building theirs between the river and Lake Erie. The proposed position of the Canada-United States border was sent to arbitration, which secured peace with Britain and a decade of prosperous trade. However, Jefferson claimed that it angered France and ""invited rather than avoided"" war. Relations with the Spanish were more successful, as Thomas Pinckney negotiated the Treaty of San Lorenzo in 1795, settling the border between the United States and Spanish territory and guaranteeing American navigational access to the Mississippi River.","['Map showing key locations in the French and\nIndian WarLawrence Washington\'s service as adjutant general of the Virginia militia  inspired Geor ge to seek a\nmilitia commission . Virginia\'s lieutenant governor , Robert Dinwiddie , appointed Washington as a major\nand commander of one of the four milit ia districts. The British and French were competing for control of\nthe Ohio River Valley : the British were constructing forts along the river, and the French between the\nriver and Lake Erie .[17]\nIn October 1753, Dinwiddie appointed Washington as a special envoy  to demand the French forces vacate\nland that was claimed by the British. Washington was also directed to make peace with the Iroquois\nConfederacy  and to gather intelligence about the French forces.[18] Washington met with Iroquois leader\nTanacharison  at Logstown .[19] Washington said that at this meeting Tanacharison named him\nConotocaurius . This name, meaning ""devourer of villages"", had previously been given to his great-', 'Lakes , the proposed position of the Canada–United States border  was sent to arbitration . Numerous pre-\nRevolution debts were settled and the British opened the British West Indies  to American merchants. The\nagreement secured peace with Britain and a decade of prosperous trade; however , Jefferson claimed that\nit angered France and ""invited rather than avoided"" war.[214] Jefferson\'s claim was verified when relations\nwith France deteriorated after the signing of the treaty , with the French Directory  authorizing the seizure\nof American ships two days before Washington\'s term ended.[215] Succeeding president John Adams was\nleft with the prospect of war.[216] Relations with the Spanish were more successful: Thomas Pinckney\nnegotiated the Treaty of San Lorenzo  in 1795, settling the border between the United States and Spanish\nterritory , and guaranteeing American navigational access to the Mississippi River[31][217]', ""grandfather John Washington  in the late 17th century by the Susquehannock .[20]\nWashington's party reached the Ohio River in November 1753 and was interc epted by a French patrol.\nThe party was escorted to Fort Le Boeuf , where Washington was received in a friendly manner . He\ndelivered the British demand to vacate to the French commander Jacques Legardeur de Saint-Pierre , but\nthe French refused to leave. Saint-Pierre gave Washington his official answer after a few days' delay , as\nwell as food and winter clothing for his party's journey back to Virginia.[21] Washington completed the\nprecarious mission in difficult winter conditions, achieving a measure of distinction when his report was\npublished in Virginia and London.[22]\nIn February 1754, Dinwiddie promoted Washington to\nlieutenant colonel and second-in-com mand of the\n300-strong Virginia Regiment , with orders to confront\nthe French at the Forks of the Ohio .[23] Washington\nset out with half the regiment in April and was soon""]",True,10,3,10,3,3.3899829387664795,0.4640616178512573,single_hop_specifc_query_synthesizer,1000,30
Could you provide a detailed account of George Fairfax's role and significance during George Washington's 1754 mission to report back to the Colonial government in Williamsburg?,"Eyewitness: As a historian, I can attest to the significance of George Fairfax's role in George Washington's 1754 mission. His participation in the surveying trip with his stepbrother Lawrence and George William Fairfax was indeed an opportunity for young George to become accustomed to life in the wild and to fit into polite society back home. Furthermore, by the time he turned 21, George had accumulated nearly 2,500 acres of his own in the Shenandoah Valley, which is a testament to his resourcefulness and determination.","['DANGEROUS JOURNEYDANGEROUS JOURNEY\n••Washington experienced many Washington experienced many \nhardships in retracing his steps hardships in retracing his steps \nback across the Alleghenies back across the Alleghenies \nduring the winter, it snowing during the winter, it snowing \nalmost the entire time.  almost the entire time.  \n••He and William Gist were He and William Gist were \nambushed by a traitorous Indian ambushed by a traitorous Indian \nguide, but managed to made it to guide, but managed to made it to \nJohn FrazierJohn Frazier ’’s trading post by s trading post by \nNew Years Day 1754New Years Day 1754\n••He continued on alone to report He continued on alone to report \nback to the Colonial government back to the Colonial government \nin Williamsburg on January 16th, in Williamsburg on January 16th, \nafter spending a day paying his after spending a day paying his \nrespects to George and Sally respects to George and Sally', 'Colonel himself, who took him on fox hunts (George was, even at a young age, already \nnoted for his riding ability) and taught him to navigate the world of the upper gentry.4  \n \nIn 1746, at the age of 16, Washington set out with George William Fairfax (Colonel \nFairfax’s son) to survey much of the Northern Neck Proprietary, which the Fairfax family \nhad received from King Charles II in 1649. The surveying trip took Washington into the \nShenandoah Valley, and it was here that he first became accustomed to life in the wild —\neven as he simultaneously sought to fit into polite society back home. For the next several \nyears, George  worked as a surveyor for the Fairfax family, and by the time he turned 21 \nhad accumulated nearly 2,500 acres of his own in the Shenandoah Valley.  \n \nEarly Military Career  \n \nIn 1752, Lawrence Washington died of tuberculosis, leaving his seat as an adjutant \ngeneral of the Virginia militia vacant. George, inspired by his stepbrother’s example and', '••In March 1748 16In March 1748 16 --yr old George Washington yr old George Washington \nand George William Fairfax (23), the son of and George William Fairfax (23), the son of \nColonel Fairfax, accompanied a professional Colonel Fairfax, accompanied a professional \nsurveyor charged with mapping the Fairfax surveyor charged with mapping the Fairfax \nland holdings west of the Blue Ridge land holdings west of the Blue Ridge \nMountains, including the unsettled lands of Mountains, including the unsettled lands of \nthe Shenandoah Valley.  the Shenandoah Valley.  \nGeorge William Fairfax (1724-87) OFF TO THE OFF TO THE \nFRONTIER AT FRONTIER AT \nAGE 16AGE 16']",True,10,3,10,3,3.0061631202697754,0.5156130194664001,single_hop_specifc_query_synthesizer,1000,30
